,Borough,Neighborhood,ID,Name
73,Brooklyn,Brownsville,4bd4b3bd29eb9c74f13092e1,Tai Lai Chinese Food
74,Brooklyn,Williamsburg,54b318a1498eb29e9541053a,Wei Williamsburg
75,Brooklyn,Williamsburg,58df00318cfe546addb99246,Birds of a Feather
76,Brooklyn,Bedford Stuyvesant,4c1971edfe5a76b073ae0315,New Hardee Chinese Restaurant
77,Brooklyn,Bedford Stuyvesant,4bfec075369476b04fcc8c1f,Wing Cheong
78,Brooklyn,Bedford Stuyvesant,4c118094a9420f4765e97c51,Lucky House Kitchen (Sue's)
79,Brooklyn,East New York,4cd4dd3e67adf04d8b102a91,Lee Good Taste
80,Brooklyn,East New York,4dd9d62dd1647fcf3e85255e,Chung Wah Chinese Food
81,Brooklyn,Starrett City,4d62d5dfe4fe5481b6cd9a9e,Chen's Garden
82,Brooklyn,Canarsie,4f7507a7e4b07eec1fdb7e04,Lucky Chen
83,Brooklyn,Flatlands,4c8d0e7355fba093abe164ab,K1 Buffet
84,Brooklyn,Flatlands,4c71de9b8efc370408c1117d,Man Do
85,Brooklyn,Coney Island,4bedc857e24d20a17afc7114,Oriental Palace
86,Brooklyn,Bath Beach,4bdcc1043904a593ba9e4f9e,New Ruans
87,Brooklyn,Bath Beach,54ce8283498ea0f009041f78,Charisma Bay
88,Brooklyn,Bath Beach,4b9301d7f964a5204c2e34e3,Fu Kee Restaurant 富記
89,Brooklyn,Bath Beach,4df1386b7d8b18e17225133e,KING'S WOK
90,Brooklyn,Borough Park,4c530856f5f3d13a9640d2f7,Wing xin chinese restaurant
91,Brooklyn,Dyker Heights,4b1c3b4cf964a520bb0424e3,Grand Sichuan House
92,Brooklyn,Dyker Heights,4b512cbaf964a520f64527e3,ha ha chinese
93,Brooklyn,Dyker Heights,4a5beec3f964a52006bc1fe3,86 Noodles
94,Brooklyn,Marine Park,4b5a6114f964a52043c128e3,China New Star
95,Brooklyn,Marine Park,4c5075d73940be9ae2124a07,new grand wok
96,Brooklyn,Marine Park,4c85489ec5a995212abf9305,Big Chef
97,Brooklyn,Sea Gate,4bedc857e24d20a17afc7114,Oriental Palace
98,Brooklyn,Downtown,59da9590e1f0aa52976b8f35,Han Dynasty
99,Brooklyn,Boerum Hill,59da9590e1f0aa52976b8f35,Han Dynasty
100,Brooklyn,Prospect Lefferts Gardens,4bfafc771134b713e48c0fc9,Green Lake Chinese Restaurant
101,Brooklyn,Ocean Hill,4d8151697c956dcb09cff27b,New Jin Shing Chinese Restuarant
102,Brooklyn,City Line,4cd4dd3e67adf04d8b102a91,Lee Good Taste
103,Brooklyn,City Line,4f326c1a19836c91c7d64648,Wo Hop Chinese Restaurant
104,Brooklyn,Bergen Beach,4b5bbfb0f964a520021429e3,China Kettle
105,Brooklyn,Midwood,4b2c56fef964a52008c624e3,Chap-a-Nosh
106,Brooklyn,Prospect Park South,4bfafc771134b713e48c0fc9,Green Lake Chinese Restaurant
107,Brooklyn,Prospect Park South,4be756a4910020a1db5ad514,Cam Tak Express Restaurant
108,Brooklyn,Georgetown,4ee01ae9f7903c92cd2e0c6a,ChinaTokyo
109,Brooklyn,Georgetown,4b775032f964a52034912ee3,China Star
110,Brooklyn,Georgetown,4c8d0e7355fba093abe164ab,K1 Buffet
111,Brooklyn,Georgetown,4b5bbfb0f964a520021429e3,China Kettle
112,Brooklyn,Georgetown,4e4ce4a1bd413c4cc66d03da,China Wok
113,Brooklyn,North Side,58df00318cfe546addb99246,Birds of a Feather
114,Brooklyn,South Side,58df00318cfe546addb99246,Birds of a Feather
115,Brooklyn,South Side,54b318a1498eb29e9541053a,Wei Williamsburg
116,Brooklyn,Ocean Parkway,4b2c56fef964a52008c624e3,Chap-a-Nosh
117,Brooklyn,Ocean Parkway,4e5187cda80997aa8a56c0fb,Hunan
118,Brooklyn,Fort Hamilton,4b512cbaf964a520f64527e3,ha ha chinese
119,Brooklyn,Fort Hamilton,4b1c3b4cf964a520bb0424e3,Grand Sichuan House
120,Brooklyn,Fort Hamilton,4a5beec3f964a52006bc1fe3,86 Noodles
121,Manhattan,Chinatown,5894c9a15e56b417cf79e553,Xi'an Famous Foods
122,Manhattan,Chinatown,4db3374590a0843f295fb69b,Spicy Village
123,Manhattan,Chinatown,59d828f0916bc1155fde2c04,Hwa Yuan
124,Manhattan,Chinatown,46936ee3f964a520d0481fe3,Shanghai Café Deluxe
125,Manhattan,Washington Heights,4b292f38f964a520939a24e3,Yang Garden
126,Manhattan,Washington Heights,4b8d55aef964a52050f532e3,Golden Star
127,Manhattan,Washington Heights,4b3fe94af964a520e2b125e3,No. 1 Chinese Restaurant
128,Manhattan,Inwood,4b9aeeedf964a52086e435e3,Lotus Express
129,Manhattan,Inwood,4bd5f4d229eb9c74c64594e1,"""U"" Like"
130,Manhattan,Hamilton Heights,54e52c00498ed1a732aa2037,The Handpulled Noodle
131,Manhattan,Hamilton Heights,4cd76fd7dfb4a1cd7195645c,King's Wok
132,Manhattan,Hamilton Heights,4bf348fce5eba593c8711e90,Crispy Bamboo Village
133,Manhattan,Manhattanville,5b4a97c16adbf5002ce288c2,Dun Huang
134,Manhattan,Manhattanville,4bf348fce5eba593c8711e90,Crispy Bamboo Village
135,Manhattan,Central Harlem,4bf348fce5eba593c8711e90,Crispy Bamboo Village
136,Manhattan,Central Harlem,4bd1f6909854d13a38a2fa4d,88 Chinese Restaurant
137,Manhattan,East Harlem,4ae650f0f964a52063a621e3,Steak and Hoagies
138,Manhattan,Upper East Side,5465906e498e0cb221c063e1,Pig Heaven
139,Manhattan,Yorkville,536e6f06498eaee664b4938e,Noodle Fun
140,Manhattan,Yorkville,4b53bfb3f964a5202daa27e3,Charley Mom
141,Manhattan,Lenox Hill,4ea5be4af5b9efc002cccdea,Shanghai
142,Manhattan,Upper West Side,5529bfd8498ec6ce692d8015,Han Dynasty
143,Manhattan,Upper West Side,5215797811d2f1217bb93475,RedFarm
144,Manhattan,Midtown,4e3484038877beb5e9a22a0b,Café China
145,Manhattan,Murray Hill,4e3484038877beb5e9a22a0b,Café China
146,Manhattan,Chelsea,44e9b421f964a520a5371fe3,Buddakan
147,Manhattan,Lower East Side,5b380f649deb7d00399fdf9d,Kings County Imperial
148,Manhattan,Lower East Side,4a801643f964a5209ef41fe3,Happy Family
149,Manhattan,Tribeca,5237264111d27e8e90c10357,China Blue
150,Manhattan,Little Italy,5894c9a15e56b417cf79e553,Xi'an Famous Foods
151,Manhattan,West Village,526eeb54498e9674b5d9034a,Decoy
152,Manhattan,Manhattan Valley,529e3657498efb17e9c800b7,Xi'an Famous Foods
153,Manhattan,Manhattan Valley,59ac42570868a23a1e0fde8f,Red Hot
154,Manhattan,Manhattan Valley,5aad356ff00a70468207d753,Grain House
155,Manhattan,Manhattan Valley,58fbdc8fe0755067a6dcf3ee,108 Food- Dried Hot Pot
156,Manhattan,Manhattan Valley,5ba99889f05ca8003a126617,Atlas Kitchen
157,Manhattan,Morningside Heights,5ba99889f05ca8003a126617,Atlas Kitchen
158,Manhattan,Morningside Heights,59ac42570868a23a1e0fde8f,Red Hot
159,Manhattan,Morningside Heights,58fbdc8fe0755067a6dcf3ee,108 Food- Dried Hot Pot
160,Manhattan,Gramercy,5c990a8886f4cc002cf19bc1,Thy’s Noodles
161,Queens,Woodside,4ae1d8b2f964a520e78721e3,Peking BBQ Chicken
162,Queens,Woodside,5a466fc5610f0447488800e2,Xi’an Famous Foods Central Kitchen
163,Queens,Elmhurst,4eaf0752d3e30d448393b841,Lao Bei Fang
164,Queens,Elmhurst,56296f14498edb1ed77b64a3,Five Loaves and Two Fishes
165,Queens,Elmhurst,59cfd6697564f73b6b943326,H.K. Taste
166,Queens,Elmhurst,4e4d0d0fbd413c4cc66e402c,Freedom Dove
167,Queens,Howard Beach,4ba57b0af964a5205f0b39e3,Empire Buffet
168,Queens,Forest Hills,4bafed40f964a520152c3ce3,Grand Sichuan
169,Queens,Forest Hills,4b5917edf964a520387c28e3,Red House Kitchen
170,Queens,Richmond Hill,4c350ac6452620a1502b260f,New China Fresh
171,Queens,Richmond Hill,4bd20e32046076b0491f7371,Bamboo Gardens
172,Queens,Flushing,5747a89b498ee4b7a5106556,DunHuang Lanzhou Beef Noodle
173,Queens,Flushing,52235ea211d2fe55782d764c,Dong Yi Feng
174,Queens,Flushing,4ad50f59f964a520950121e3,Fu Run 賦潤東北美食
175,Queens,Flushing,4c78756397028cfaec16d8fe,New Golden Szechuan Chinese Restaurant
176,Queens,Flushing,4fa3f81be4b0a34ac673bf1e,Taipei Hong 台北夯
177,Queens,Flushing,4abfef82f964a520179320e3,New Imperial Palace 東湖
178,Queens,Flushing,4faff7eae4b03b8055801cde,Xi'an Famous Foods
179,Queens,Flushing,4d1bcddc1356224bc6410abe,OK Ryan
180,Queens,Flushing,4ac38216f964a520929b20e3,Golden Shopping Mall
181,Queens,Flushing,4ef37491d3e32dc398c7c5c7,Laoma Mala Tang
182,Queens,Flushing,4a1845c8f964a52092791fe3,Asian Jewels Seafood Restaurant 敦城海鲜酒家
183,Queens,Flushing,5990ab0a826444188d18dabc,Szechuan House
184,Queens,Flushing,4e026cd7fa76007240170736,Lan Zhou Hand Made Noodle
185,Queens,Flushing,59bb19bebcbf7a6bb69bf937,Guan Fu Szechuan 官府川菜
186,Queens,Sunnyside,4bb91c86b35776b0e5a1c901,Golden Wok
187,Queens,Sunnyside,4b4a7016f964a520a18726e3,Ten Full Chinese
188,Queens,Sunnyside,4aece833f964a52024cc21e3,Tangra Fusion
189,Queens,Sunnyside,4bbd13baa8cf76b0a95fb1fd,China Garden
190,Queens,Maspeth,4d586ba98147f04db338a254,Yeun Wah Takeout
191,Queens,Maspeth,57560bce498e24587b8de0d9,Moon Palace Kitchen
192,Queens,Ridgewood,4ba25cdff964a52051f137e3,Mr Chen
193,Queens,Ridgewood,4c703259d97fa1434b58f5ca,Randy's Restaurant
194,Queens,Glendale,4c699cc40e98a593d9eb2459,Sweet Rice
195,Queens,Glendale,4bd9fe963904a5939194449e,King Wok
196,Queens,Rego Park,56316c73498ebdd0e0e53e95,Green Zenphony
